Reference_GAVIA,ReferenceID,Reference_Full,
"{Diamond, 1984 #486}",486,"Diamond, A. W. (1984). Biogeography of Seychelles land birds. In D. R. Stoddart (Ed.), Biogeography and ecology of the Seychelles Islands (pp. 487-504): Springer.",
"{Diamond, 1985 #488}",488,"Diamond, A. W. (1985). The conservation of landbirds on islands in the tropical Indian Ocean. In P. J. Moors (Ed.), Conservation of Island Birds (pp. 85-100): International Council for Bird Preservation.",
"{Diamond, 1987 #489}",489,"Diamond, A. W. (1987). Studies of Mascarene Island Birds. New York: Cambridge University Press.",
"{Dias, 2000 #832}",832,"Dias, R. A. (2000). The occurence of the European Goldfinch Carduelis carduelis in Brazil. Ornitologia Neotropical, 11, 249-251. ",
"{Dlugosch, 2008 #840}",840,"Dlugosch, K. M., & Parker, I. M. (2008). Founding events in species invasions: genetic variation, adaptive evolution, and the role of multiple introductions. Molecular Ecology, 17, 431-449. ",
"{Donegan, 2009 #830}",830,"Donegan, T., Salaman, P., & Caro, D. (2009). Revision of the status of various bird species occurring or reported in Colombia. Conservacion Colombiana, 8, 80-86. ",
"{Doughty, 1999 #310}",310,"Doughty, C., Day, N., & Plant, A. (1999). Birds of the Solomons, Vanuatu & New Caledonia. London: Christopher Helm.",
"{Drummond, 1912 #784}",784,"Drummond, J. (1912). Introduced Birds of New Zealand. The Condor, 14(6), 227. ",
"{du Pont, 1976 #650}",650,"du Pont, J. E. (1976). South Pacific Birds. Greenville: Delaware Museum of Natural History.",
"{Dubois, 2007 #973}",973,"Dubois, P. J. (2007). Les oiseaux allochtones en France: statut et interactions avec les espèces indigènes. Ornithos, 14(6), 329-364. ",
"{Dudley, 2005 #762}",762,"Dudley, S. P. (2005). Changes to Category C of the British List. Ibis, 147, 803-820. ",
"{Dudley, 2006 #123}",123,"Dudley, S. P., Gee, M., Kehoe, C., Melling, T. M., & BOURC. (2006). The British List: A Checklist of Birds of Britain (7th edition). Ibis, 148, 526-563. ",
"{Dudley, 2010 #124}",124,"Dudley, S. P. (2010). Non-native bird species and the British List. Paper presented at the The Impacts of Non-native Species.",
"{Duffey, 1964 #69}",69,"Duffey, E. (1964). The Terrestrial Ecology of Ascension Island. Journal of Applied Ecology, 1(2), 219-251. ",
"{Duncan, 1997 #359}",359,"Duncan, R. P. (1997). The role of competition and introduction effort in the success of Passeriform birds introduced to New Zealand. The American Naturalist, 149(5), 903-915. ",
"{Duncan, 1999 #360}",360,"Duncan, R. P., Blackburn, T. M., & Veltman, C. J. (1999). Determinants of Geographical Range Sizes: A Test Using Introduced New Zealand Birds. Journal of Animal Ecology, 68(5), 963-975. ",
"{Duncan, 2001 #93}",93,"Duncan, R. P., Bomford, M., Forsyth, D. M., & Conibear, L. (2001). High predictability in introduction outcomes and the geographical range size of introduced Australian birds: a role for climate. Journal of Animal Ecology, 70, 621-632. ",
"{Duncan, 2002 #601}",601,"Duncan, R. P., & Blackburn, T. M. (2002). Morphological over-dispersion in game birds (Aves: Galliformes) successfully introduced to New Zealand was not caused by interspecific competition. Evolutionary Ecology Research, 4, 551-561. ",
"{Duncan, 2006 #94}",94,"Duncan, R. P., Blackburn, T. M., & Cassey, P. (2006). Factors affecting the release, establishment and spread of introduced birds in New Zealand. In L. W. Allen RB (Ed.), Biological Invasions in New Zealand (pp. 137-154). Berlin: Springer.",
"{duPont, 1972 #549}",549,"duPont, J. E. (1972). Notes from Western Somoa, including the description of a new parrot-finch (Erythrura). The Wilson Bulletin, 84(4), 375-376. ",
"{Early, 2009 #771}",771,"Early, J., Toomath, C., Fitzsimons, B., & Kelly, J. (2009). Invasive species Ireland: field guide to invasive species in Ireland. 2nd Edition. NIEA",
"{Earson, 2004 #700}",700,"Earson, S. D. (2004). Predation of fledgling Warbling Silverbill, Lonchura malabarica (Aves: Estrildidae) by Troupial, Icterus icterus (Aves: Icteridae) in Southwestern Puerto Rico. Carribean Journal of Science, 40(3), 413-415. ",
"{Ebenhard, 1988 #737}",737,"Ebenhard, T. (1988). Introduced birds and mammals and their ecological effects. Swedish Wildlife Research, 13, 1-107. ",
"{Eguchi, 1999 #45}",45,"Eguchi, K., & Amano, H. E. (1999). Naturalisation of exotic birds in Japan. Japanese Journal of Ornithology, 47, 97-114. ",
"{Eguchi, 2004 #156}",156,"Eguchi, K., & Amano, H. E. (2004). Invasive birds in Japan. Global Environment Research, 8(1), 29-39. ",
"{Eguchi, 2004 #22}",22,"Eguchi, K., & Amano, H. E. (2004). Spread of exotic birds in Japan. Ornithological Science, 3(1), 3-11. ",
"{Eguchi, 2008 #46}",46,"Eguchi, K., & Amano, H. E. (2008). Indirect influences of the invasive Red-billed Leiothrix on the breeding of the Japanese Bush Warbler. Japanese Journal of Ornithology, 57(1), 3-10. ",
"{Ehrlich, 1988 #853}",853,"Ehrlich, P. R., Dobkin, D. S., & Wheye, D. (1988). Alien Invaders  Retrieved 30/06/2011, http://www.stanford.edu/group/stanfordbirds/text/essays/Avian_Invaders.html",
"{Ehrlich, 1988 #856}",856,"Ehrlich, P. R., Dobkin, D. S., & Wheye, D. (1988). Feral Birds  Retrieved 30/06/2011, http://www.stanford.edu/group/stanfordbirds/text/essays/Feral_Birds.html",
"{Elton, 1958 #734}",734,"Elton, C. S. (1958). The ecology of invasions by animals and plants (1st ed.). London: Methuen.",
"{Elts, 2009 #764}",764,"Elts, J., Kuresoo, A., Leibak, E., Leito, A., Leivits, A., Lilleleht, V., . . . Ots, M. (2009). Status and numbers of Estonian birds, 2003-2008. Hirundo, 22, 3-31. ",
"{Engbring, 1983 #550}",550,"Engbring, J. (1983). Avifauna of the southwest islands of Palau. Washington, D.C.: The Smithsonian Institute.",
"{Epps, 2007 #487}",487,"Epps, S. A. (2007). Parrots of South Florida. Sarasota, FL: Pineapple Press, Inc.",
"{Eraud, 2007 #765}",765,"Eraud, C., Boutin, J.-M., Roux, D., & Faivre, B. (2007). Spatial dynamics of an invasive bird species assessed using robust design occupancy analysis: the case of the Eurasian collared dove (Streptopelia decaocto) in France. Journal of Biogeography, 34, 1077-1086. ",
"{Evens, 2005 #19}",19,"Evens, J., & Tait, I. (2005). Introduction to California Birdlife. California: University of California Press.",
"{Fabregas, 2010 #129}",129,"Fabregas, M. C., Guillen-Salazar, F., & Garces-Narro, C. (2010). The risk of zoological parks as potential pathways for the introduction of non-indigenous species. Biological Invasions. ",
"{Fan, 2009 #157}",157,"Fan, M.-W., Lin, R.-S., Fang, W., & Lin, Y.-H. (2009). The distribution and abundance of the alien invasive white-rumped shama (Copsychus malabaricus) in Taiwan. Taiwania, 54(3), 248-254. ",
"{Feare, 1984 #490}",490,"Feare, C. J., & Watson, J. (1984). Occurrence of migrant birds in the Seychelles. In D. R. Stoddart (Ed.), Biogeography and ecology of the Seychelles The Hague: Dr W. Junk Publishers.",
"{Feare, 1990 #70}",70,"Feare, C. J., & Mungroo, Y. (1990). The Status and Management of the House Crow Corvus splendens (Vieillot) in Mauritius. Biological Conservation, 51, 63-70. ",
"{Feare, 1996 #61}",61,"Feare, C. (1996). Rose-ringed parakeet Psittacula krameri: a love-hate relationship in the making? In J. S. Holmes & J. R. Simons (Eds.), The Introduction and Naturalisation of Birds (pp. 107-112). London: HMSO.",
"{Feare, 1998 #210}",210,"Feare, C., & Craig, A. (1998). Starlings and Mynas. London: Christopher Helm.",
"{Feldman, 1999 #703}",703,"Feldman, P., Benito-Espinal, E., & Keith, A. R. (1999). New bird records from Guadeloupe and Martinque, West Indies (Nuevos Informes de Aves para las Islas de Guadalupe y Martinica, Indias Occidentales). Journal of Field Ornithology, 70(1), 80-94. ",
"{Fenneman, 2011 #890}",890,"Fenneman, J. (2011). Checklist of the Birds of British Columbia. Sidney, British Columbia.",
"{Ffrench, 1966 #704}",704,"Ffrench, R. P., & Ffrench, M. (1966). Recent records of birds in Trinidad and Tobago. The Wilson Bulletin, 78(1), 5-11. ",
"{Ffrench, 1991 #274}",274,"Ffrench, R. (1991). A guide to the birds of Trinidad and Tobago (2nd ed. ed.). Ithaca, New York: Comstock Publishing.",
"{FFWCC, 2011 #892}",892,"FFWCC. (2011). NonNative Birds  Retrieved 11/07/11, http://myfwc.com/wildlifehabitats/nonnatives/birds/",
"{Fiji, 2007 #614}",614,"Fiji, F. G. o. (2007). Exotic (introduced) birds in Fiji  Retrieved 03.06.2011",
"{Flade, 2008 #767}",767,"Flade, M., Grüneberg, C., Sudfeldt, C., & Wahl, J. (2008). Birds and Biodiversity in Germany - 2010 Target. In N. DDA, DRV, DO-G (Ed.). Münster: Federal Nature Conservation Agency.",
"{Fletcher, 2007 #194}",194,"Fletcher, M., & Askew, N. (2007). Review of the Status, Ecology and Likely Future Spread of Parakeets in England. York: Central Science Laboratory.",
"{Flint, 1992 #401}",401,"Flint, P. R., & Stewart, P. F. (1992). The Birds of Cyprus: An annotated check-list (2nd ed. Vol. B.O.U. Check-list No. 6). Tring: British Ornithologists' Union.",
"{FOEN, 2006 #972}",972,"FOEN, Swiss Federal Office for the Environment (2006). An inventory of alien species and their threat to biodiversity and economy in Switzerland.",
"{Forbes-Watson, 1972 #741}",741,"Forbes-Watson, A. D. (1972). Birds naturalised in East Africa. East African Natural History Society Bulletin, 144-145. ",
"{Fosberg, 1990 #552}",552,"Fosberg, F. R. (1990). A review of the natural history of the Marshall Islands Atoll Research Bulletin. Washington, D.C.: National Museum of Natural History, Smithsonian Institute.",
"{Foster, 2004 #554}",554,"Foster, J. T., Tweed, E. J., Camp, R. J., Woodworth, B. L., Adler, C. D., & Telfer, T. (2004). Long term population changes of native and introduced birds in the Alaska'i Swamp, Kaua'i. Conservation Biology, 18(3), 716-725. ",
"{Foster, 2007 #553}",553,"Foster, J. T., & Robinson, S. K. (2007). Introduced birds and the fate of Hawaiian rainforests. Conservation Biology, 21(5), 1248-1257. ",
"{Freed, 2009 #556}",556,"Freed, L. A., & Cann, R. L. (2009). Negative effects of an introduced bird species on growth and survival in a native bird community. Current Biology, 19, 1736-1740. ",
"{Freifeld, 1999 #557}",557,"Freifeld, H. B. (1999). Habitat relationship of forest birds on Tutuila Island, American Samoa. Journal of Biogeography, 26, 1191-1213. ",
"{Frenot, 2005 #79}",79,"Frenot, Y., Chown, S. L., Whinam, J., Selkirk, P. M., Convey, P., Skotnicki, M., & Bergstrom, D. M. (2005). Biological invasions in the Antarctic: extent, impacts and implications. Biological Reviews, 80, 45-72. ",
"{Frost, 2003 #697}",697,"Frost, M. D., & Massiah, E. B. (2003). Observations of rare and unusual birds on Grenada. The Journal of Caribbean Ornithology, 16(1). ",
"{Fujisaki, 2010 #854}",854,"Fujisaki, I., Pearlstine, E. V., & Mazzotti, F. J. (2010). The rapid spread of invasive Eurasian Collared Doves Streptopelia decaocto in the continental USA follows human-altered habitats. Ibis, 152, 622-632. ",
"{Fuller, 1995 #768}",768,"Fuller, R. J., Gregory, R. D., Gibbons, D. W., Marchant, J. H., Wilson, J. D., Baillie, S. R., & Carter, N. (1995). Population declines and range contractions among lowland farmland birds in Britain Conservation Biology, 9(6), 1425-1441. ",
"{Gammon, 2002 #136}",136,"Gammon, D. E., & Maurer, B. A. (2002). Evidence for non-uniform dispersal in the biological invasions of two naturalized North American bird species. Global Ecology and Biogeography, 11, 155-161. ",
"{Garcia-del-Rey, 2007 #71}",71,"Garcia-del-Rey, E. (2007). Exotic, introduced and invasive avifauna on Tenerife: are these species a serious threat? Vieraea, 35, 131-138. ",
"{Garrett, 1997 #185}",185,"Garrett, K. L. (1997). Population status and distribution of naturalized parrots in southern California. Western Birds, 28(4), 181-195. ",
"{Gebhardt, 1959 #338}",338,"Gebhardt, E. (1959). Europaeische Voegel in ueberseeischen Laendem. Bonner Zoologische Beitraege, 10, 310-341. ",
"{Gebhardt, 1996 #362}",362,"Gebhardt, H. (1996). Ecological and economic consequences of introductions of exotic wildlife (birds and mammals) in Germany. Wildlife Biology, 2, 205-211. ",
"{Gibbs, 2001 #249}",249,"Gibbs, D., Barnes, E., & Cox, J. (2001). Pigeons and doves : a guide to the pigeons and doves of the world. Sussex: Pica Press.",
"{Gill, 1967 #491}",491,"Gill, F. B. (1967). Birds of Rodriguez Island (Indian Ocean). Ibis, 109, 383-390. ",
"{GISD, 2005 #399}",399,GISD. (2005). Global Invasive Species Database from http://www.issg.org/database,
"{Gonzalez, 2006 #151}",151,"Gonzalez, J. C. (2006). Impact of introduced birds in the Philippines. Journal of Environmental Science and Management, 9(2), 66-79. ",
"{Gorman, 1973 #602}",602,"Gorman, M. L. (1973). Habitats of the land-birds of Viti Levu, Fiji Islands. Ibis, 117, 152-161. ",
"{Gottdenker, 2005 #819}",819,"Gottdenker, N. L., Walsh, T., Vargas, H., Merkel, J., Jiménez, G. U., Miller, E., . . . Parker, P. G. (2005). Assessing the risks of introduced chickens and their pathogens to native birds in the Galápagos Archipelago. Biological Conservation, 126, 429-439. ",
"{Grant, 1964 #110}",110,"Grant, P. R., & Cowan, I. M. (1964). A Review of the Avifauna of the Tres Marias Islands, Nayarit, Mexico. The Condor, 66(3), 221-228. ",
"{Grant, 1993 #443}",443,"Grant, P. R., & de Vries, T. (1993). The Unnatural Colonization of Galapagos by Smooth-Billed Anis (Crotophaga ani). Noticias de Galapagos, 52, 21-24. ",
"{Green, 1997 #92}",92,"Green, R. E. (1997). The Influence of Numbers Released on the Outcome of Attempts to Introduce Exotic Bird Species to New Zealand. Journal of Animal Ecology, 66(1), 25-35. ",
"{Gregory, 2005 #526}",526,"Gregory, G. (2005). The Birds of the State of Kuwait: Gregory George.",
"{Grishchenko, 2004 #906}",906,"Grishchenko, V. (2004). Checklist of the birds of Ukraine. Berkut, 13(2), 141-154. ",
"{Guichard, 1952 #532}",532,"Guichard, K. M., & Goodwin, D. (1952). Notes on birds collected and observed in Oman and Hadhramaut. Ibis, 94, 294-305. ",
"{Gyimesi, 2012 #981}",981,"Gyimesi, A., & Lensink, R. (2012). Egyptian Goose Alopochen aegyptiaca: an introduced species spreading in and from the Netherlands. Wildfowl, 62, 128-145. ",
"{Hadden, 1981 #603}",603,"Hadden, D. (1981). Birds of the North Solomons (Vol. Handbook number 8). Papau New Guinea: WAU Ecology Institute.",
"{Haemig, 1978 #705}",705,"Haemig, P. D. (1978). Aztec Emperor Auitzotl and the Great-Tailed Grackle. Biotropica, 10(1), 11-17. ",
"{Haemig, 1979 #706}",706,"Haemig, P. D. (1979). Secret of the Painted Jay. Biotropica, 11(2), 81-87. ",
"{Hagemeijer, 1997 #247}",247,"Hagemeijer, W. J. M., & Blair, M. J. (1997). The EBCC atlas of European breeding birds: their distribution and abundance. London: T. & A.D. Poyser.",
"{Hahn, 2002 #808}",808,"Hahn, I., & Römer, U. (2002). Threatened avifauna of the Juan Fernandez Archipelago, Chile: the impact of introduced mammals and conservation priorities. Cotinga, 17, 66-72. ",
"{Hale, 2007 #562}",562,"Hale, K., & Briskie, J. V. (2007). Response of introduced European birds in New Zealand to experimental brood parasitism. Journal of Avian Biology, 38, 198-204. ",
"{Hamada, 2006 #150}",150,"Hamada, T., Sato, S., & Okai, Y. (2006). Records and evidence of breeding of Ashy Laughing Thrush Garrulax cineraceus on Shikoku Island Japanese Journal of Ornithology, 55(2), 105-109. ",
"{Hand, 2002 #564}",564,"Hand, C. (2002, 5th December 2002). Introduced species in Hawaii  Retrieved 26.05.2011",
"{Hardy, 1973 #363}",363,"Hardy, J. W. (1973). Feral Exotic Birds in Southern California. The Wilson Bulletin, 85(4), 506-512. ",
"{Harmon, 1987 #823}",823,"Harmon, W. M., Clark, W. A., Hawbecker, A. C., & Stafford, M. (1987). Trichomonas gallinae in Columbiform Birds from the Galapagos Islands. Journal of Wildlife Diseases, 23(3), 492-494. ",
"{Harms, 2003 #707}",707,"Harms, K. E., & Eberhard, J. R. (2003). Roosting behavior of the brown-throated Parakeet (Aratinga pertinax) and roost locations on four southern Caribbean islands. Ornithological Neotropical, 14, 79-89. ",
"{Harrap, 1996 #219}",219,"Harrap, S., & Quinn, D. (1996). Tits, Nuthatches and Treecreepers. London: Christopher Helm.",
"{Harris, 1973 #176}",176,"Harris, M. P. (1973). The Galápagos Avifauna. The Condor, 75(3), 265-278. ",
"{Harrison, 1971 #805}",805,"Harrison, T. (1971). Easter Island: A Last Outpost. Oryx, 11, 111-116. ",
"{Harwin, 1966 #492}",492,"Harwin, R. M., & Irwin, M. P. S. (1966). The spread of the House Sparrow, Passer domesticus, in South-central Africa. Arnoldia (Rhodesia), 24(2), 1-17. ",
"{Hatzofe, 2002 #114}",114,"Hatzofe, O., & Yom-Tov, Y. (2002). Global warming and recent changes in Israel's avifauna. Israel Journal of Zoology, 48, 351-357. ",
"{Hawley, 2006 #855}",855,"Hawley, D. M., Hanley, D., Dhondt, A. A., & Lovette, I. J. (2006). Molecular evidence for a founder effect in invasive house finch (Carpodacus mexicanus) populations experiencing an emergent disease epidemic. Molecular Ecology, 15, 263-275. ",
"{Hayes, 1995 #292}",292,"Hayes, F. E. (1995). Status, distribution and biogeography of the birds of Paraguay. Colorado Springs, Colorado: American Birding Association.",
"{Haynes-Sutton, 2009 #432}",432,"Haynes-Sutton, A., Downer, A., & Sutton, R. (2009). A Photographic Guide to the Birds of Jamaica. London: Christopher Helm.",
"{Hazevoet, 1995 #258}",258,"Hazevoet, C. J. (1995). The birds of the Cape Verde Islands (B.O.U check-list no.13 ed.). Tring: British Ornithologists' Union.",
"{Hazevoet, 2010 #455}",455,"Hazevoet, C. J. (2010). Sixth report on birds from the Cape Verde Islands, including records of 25 taxa new to the archipelago. Zoologia Caboverdiana, 1(1), 3-44. ",
"{Heather, 1997 #289}",289,"Heather, B. D., & Robertson, H. A. (1997). Field guide to the birds of New Zealand. Oxford: Oxford University Press.",
"{Hellyer, 2005 #513}",513,"Hellyer, P. a. A., S. (2005). Researching the Emirates (pp. 13-25).",
"{Henderson, 2010 #186}",186,"Henderson, I. S. (2010). North American ruddy ducks Oxyura jamaicensis in the United Kingdom – population development and control. Paper presented at the The Impacts of Non-native Species.",
"{Henderson, 2010 #190}",190,"Henderson, I. S. (2010). The eradication of ruddy ducks in the United Kingdom. In P. Genovesi & R. Scalera (Eds.), Aliens: The Invasive Species Bulletin, Newsletter of the IUCN/SSC Invasive Species Specialist Group (Vol. 29). Rome, Italy: ISPRA.",
"{Hennessey, 2003 #300}",300,"Hennessey, A. B., Herzog, S. K., & Sagot, F. (2003). Lista anotada de las aves de Bolivia (5 ed.). Santa Cruz, Bolivia: Asociación Armonía/BirdLife International.",
"{Higgins, 1996 #407}",407,"Higgins, P. J. a. D., S.J.J.F. (Editors). (1996). Handbook of Australian, New Zealand and Antarctic Birds. Vol 3: Snipe to Pigeons (Vol. 3: Snipe to Pigeons). Melbourne: Oxford University Press.",
"{Higgins, 1999 #408}",408,"Higgins, P. J. (1999). Handbook of Australian, New Zealand and Antarctic Birds. Vol 4: Parrots to Dollarbirds (Vol. 4: Parrots to Dollarbirds). Melbourne: Oxford Univeristy Press.",
"{Higgins, 2001 #409}",409,"Higgins, P. J., Peter, J.M. and Steele, W.K. (Editors). (2001). Handbook of Australian, New Zealand and Antarctic Birds. Vol 5: Tyrant-flycatchers to Chats. (Vol. 5: Tyrant-flycatchers to Chats). Victoria: Oxford University Press.",
"{Higgins, 2002 #410}",410,"Higgins, P. J. a. P. J. M. E. (2002). Handbook of Australian, New Zealand and Antarctic Birds. Vol 6: Pardalotes to Shrike-thrushes. (Vol. 6: Pardalotes to Shrike-thrushes ). Victoria: Oxford University Press.",
"{Higgins, 2006 #411}",411,"Higgins, P. J., Peter, J.M. and Cowling, S.J. (Editors). (2006). Handbook of Australian, New Zealand and Antarctic Birds. Vol 7: Part B: Dunnock to Starlings. (Vol. 7: Part B: Dunnock to Starlings). Victoria: Oxford University Press.",
"{Higgins, 2006 #412}",412,"Higgins, P. J., Peter, J. M., & Cowling, S. J. (2006). Handbook of Australian, New Zealand and Antarctic Birds. Vol 7: Part A: Boatbill to Larks. (Vol. 7, Part A: Boatbill to Larks). Melbourne: Oxford University Press.",
"{Hilty, 2003 #394}",394,"Hilty, S. L. (2003). Birds of Venezuela. London: Christopher Helm.",
"{Hirshfield, 1992 #37}",37,"Hirshfield, E., & King, R. (1992). The status of some escaped species of birds in Bahrain. The Phoenix, 9, 11-13. ",
"{Hockey, 2005 #458}",458,"Hockey, P. A. R., Dean, W.R.J. and Ryan, P.G. (Editors). (2005). Roberts Birds of Southern Africa (7 ed.). Cape Town: Trustees of the John Voelcker Bird Book Fund.",
"{Holling, 2007 #119}",119,"Holling, M. (2007). Rare breeding birds in the United Kingdom in 2003 and 2004. British Birds, 100, 321-327. ",
"{Holmes, 1996 #454}",454,"Holmes, J. S., & Simons, J. R. (1996). The Wildlife and Countryside Act 1981 and bird introductions. In J. S. Holmes & J. R. Simons (Eds.), The introduction and naturalisation of birds (pp. 19-24). London: HMSO.",
"{Holyoak, 1979 #604}",604,"Holyoak, D. T. (1979). Notes on the birds of Viti Levu and Taveuni, Fiji. Emu, 79, 7-18. ",
"{Holyoak, 1980 #606}",606,"Holyoak, D. T. (1980). Guide to Cook Islands Birds. New York: Cook Islands Library and Museum Society.",
"{Holzapfel, 2006 #189}",189,"Holzapfel, C., Levin, N., Hatzofe, O., & Kark, S. (2006). Colonisation of the Middle East by the invasive Common Myna Acridotheres tristis L., with special reference to Israel. Sandgrouse, 28(1), 44-51. ",
"{Hone, 1978 #607}",607,"Hone, J. (1978). Introduction and spread of the Common Myna in New South Wales. Emu, 78, 227-230. ",
"{Horimoto, 2007 #47}",47,"Horimoto, N. (2007). The first breeding record of the Red-billed Leiothrix in the Kyoto prefecture, Western Japan. Strix, 25, 147-150. ",
"{Hows, 2012 #936}",936,"Hows, M. (2012). Barcelona trip report  Retrieved 29th January, 2013, from http://www.surfbirds.com/trip_report.php?id=2110",
"{Hughes, 1996 #125}",125,"Hughes, B. (1996). The ruddy duck Oxyura jamaicensis in the Western Palearctic and the threat to the white-headed duck Oxyura leucocephala. In J. S. Holmes & J. R. Simons (Eds.), The Introduction and Naturalisation of Birds (pp. 79-86). London: HMSO.",
"{Hugo, 2009 #72}",72,"Hugo, S., & Van Rensburg, B. J. (2009). Alien and native birds in South Africa: patterns, processes and conservation. Biological Invasions, 11, 2291-2302. ",
"{InBUy, 2011 #982}",982,"InBUy, Base de Datos de Especies Invasoras para Uruguay (2011). Estrilda astrild, from http://inbuy.fcien.edu.uy/fichas_de_especies/DATAonline/DBASEonline/Estrilda_astrild_w.pdf",
"{InfoNatura, 2007 #453}",453,"InfoNatura. (2007). Animals and Ecosystems of Latin America [web application] Version 5.0. Retrieved May 10 2011, from http://www.natureserve.org/infonatura",
"{Inskipp, 1996 #65}",65,"Inskipp, T., Lindsey, N., & Duckworth, W. (1996). An Annotated Checklist of the Birds of the Oriental Region: Oriental Bird Club.",
"{International, 2012 #979}",979,"International, B. (2012). Numida meleagris. IUCN 2012. IUCN Red List of Threatened Species  Retrieved 19 June 2013, 2013, from http://maps.iucnredlist.org/map.html?id=100600308",
"{Iriarte, 1997 #809}",809,"Iriarte, J. A., Feinsinger, P., & Jaksic, F. M. (1997). Trends in wildlife use and trade in Chile. Biological Conservation, 81, 9-20. ",
"{Iriarte, 2005 #174}",174,"Iriarte, J. A., Lobos, G. A., & Jaksic, F. M. (2005). Invasive vertebrate species in Chile and their control and monitoring by governmental agencies. Revista Chilena de Historia Natural, 78, 143-154. ",
"{Isler, 1999 #218}",218,"Isler, M. L., & Isler, P. R. (1999). The Tanagers: Natural History, Distribution and Identification. London: Christopher Helm.",
"{ISSG, 2010 #858}",858,ISSG. (2010). Aliens: the Invasive Species Bulletin Newsletter of the IUCN/SSC Invasive Species Specialist Group.,
"{IUCN, 2010 #321}",321,IUCN. (2010). IUCN Red List of Threatened Species.   www.iucnredlist.org,
"{Jaksic, 1998 #175}",175,"Jaksic, F. M. (1998). Vertebrate invaders and their ecological impacts in Chile. Biodiversity and Conservation, 7, 1427-1445. ",
"{Jansson, 2008 #859}",859,"Jansson, K., Josefsson, M., & Weidema, I. (2008). NOBANIS - Invasive Alien Species Fact Sheet - Branta canadensis. . In NOBANIS (Ed.), Online Database of the North European and Baltic Network on Invasive Alien Species.",
"{Jaramillo, 1999 #211}",211,"Jaramillo, A., & Burke, P. (1999). New World Blackbirds: the Icterids. London: Christopher Helm.",
"{Jaramillo, 2003 #283}",283,"Jaramillo, A., Burke, P., & Beadle, D. (2003). Field guide to the birds of Chile : including the Antarctic Peninsula, the Falkland Islands and South Georgia. London: Christopher Helm.",
"{Jaramillo, 2008 #824}",824,"Jaramillo, A., Johnson, M. T. J., Rothfels, C. J., & Johnson, R. A. (2008). The native and exotic avifauna of Easter Island: then and now. Boletín Chileno de Ornitología, 14(1), 8-21. ",
"{Jarvi, 2003 #567}",567,"Jarvi, S. I., Farias, M. E. M., Baker, H., Freifeld, H. B., Baker, P. E., Gelder, E. V., . . . Atkinson, C. T. (2003). Detection of avian malaria (Plasmodium spp.) in native land birds of American Samoa. Conservation Genetics, 4, 629-637. ",
"{Jehl Jr., 1985 #433}",433,"Jehl Jr., J. R., & Everett, W. T. (1985). History and status of the avifauna of Isla Guadalupe, Mexico. Transactions of the San Diego Society of Natural History, 20(17), 313-336. ",
"{Jennings, 1981 #533}",533,"Jennings, M. C. (1981). The birds of Saudi Arabia: a check-list. Cambridge: Michael Jennings.",
"{Jennings, 2004 #38}",38,"Jennings, M. C. (2004). Breeding birds in Central Arabia 1978-2003. Sandgrouse, 26(1), 35-47. ",
"{Jennings, 2004 #39}",39,"Jennings, M. C. (2004). Exotics breeding in Arabian Cities. The Phoenix, 20, 2. ",
"{Jennings, 2004 #40}",40,"Jennings, M. C. (2004). New breeding exotics. The Phoenix, 20, 21. ",
"{Jennings, 2010 #534}",534,"Jennings, M. C. (2010). Atlas of the breeding birds of Arabia. Fauna of Arabia, 25, 1-751. ",
"{Jennings, 2011 #888}",888,"Jennings, M. C. (2011). List of the Breeding Birds of Arabia  Retrieved 11/07/11, http://www.qc16.dial.pipex.com/form%202%20web.htm ",
"{Jensen, 2009 #898}",898,"Jensen, A., & Allen, D. (2009). Checklist of Birds of the Philippines: A preliminary updated list 2009: Wild Birds Club of the Philippines.",
"{Johnson, 1970 #608}",608,"Johnson, A. W., Millie, W. R., & Moffett, G. (1970). Notes on the birds of Easter Island. Ibis, 112, 532-538. ",
"{Johnson, 2009 #857}",857,"Johnson, S. A., & Donaldson-Fortier, G. (2009). Florida's Introduced Birds: Eurasian Collared-Dove (Streptopelia decaocto)  Retrieved 30/06/2011, http://edis.ifas.ufl.edu/uw301",
"{Johnson, 2009 #862}",862,"Johnson, S. A., & Givens, W. (2009). Florida's Introduced Birds: European Starling (Sturnus vulgaris)  Retrieved 01/07/2011, http://edis.ifas.ufl.edu/uw300",
"{Johnson, 2009 #863}",863,"Johnson, S. A., & Hawk, M. (2009). Florida's Introduced Birds: Muscovy Duck (Cairina moschata)  Retrieved 04/07/11,http://edis.ifas.ufl.edu/uw299",
"{Johnson, 2009 #864}",864,"Johnson, S. A., & Logue, S. (2009). Florida's Introduced Birds: Monk Parakeet (Myiopsitta monachus)  Retrieved 04/07/11, http://edis.ifas.ufl.edu/uw302",
"{Johnson, 2009 #865}",865,"Johnson, S. A., & McGarrity, M. (2009). Florida's Introduced Birds: An Overview  Retrieved 04/07/11, http://edis.ifas.ufl.edu/uw315",
"{Johnson, 2009 #866}",866,"Johnson, S. A., & McGarrity, M. (2009). Florida's Introduced Birds: Sacred Ibis (Threskiornis aethiopicus)  Retrieved 04/07/11, http://edis.ifas.ufl.edu/uw312",
"{Johnson, 2009 #867}",867,"Johnson, S. A., & McGarrity, M. (2009). Florida's Introduced Birds: Purple Swamphen (Porphyrio porphyrio)  Retrieved 04/07/11, http://edis.ifas.ufl.edu/uw315",
